['video', 'enonce', 'age', 'sexe', 'nationalité', 'langue maternelle', "niveau d'études", 'Exces (0/1/2)', 'Total']
['[placement4]-[groupe1]-[Domi & Yani]-[VLAEMINCK] https://youtu.be/hIAZJjAwk7g?si=L0BB0BL5CEA8AFw5', 'Jus de concombre voilà juste juste oh et après voilà, tu vois, elle met elle met des cornichons dedans et après elle met du jus de de jalapenos là.', '20', 'F', None, None, 'Bac +3', '1', None]
[None, None, '20', 'F', None, None, 'Bac +3', '1', None]
[None, None, '20', 'F', 'Burundaise', 'Swahili', 'Bac +3', '1', None]
[None, None, '20', 'F', None, None, 'Bac +3', '1', None]
[None, None, '20', 'F', None, None, 'Bac +3', '1', None]
['[placement4]-[groupe1]-[Domi & Yani]-[VLAEMINCK] https://youtu.be/hIAZJjAwk7g?si=L0BB0BL5CEA8AFw5', 'Mais nous on a pas de jalapenos donc on va mettre juste les cornichons.', '20', 'F', None, None, 'Bac +3', '0', None]
[None, None, '20', 'F', None, None, 'Bac +3', '0', None]
[None, None, '20', 'F', 'Burundaise', 'Swahili', 'Bac +3', '0', None]
[None, None, '20', 'F', None, None, 'Bac +3', '0', None]
[None, None, '20', 'F', None, None, 'Bac +3', '0', None]
[None, None, None, None, None, None, None, None, None]
['Sketch 1 - groupe 6 - Raymond - DELBART', "parce qu'on m'a demandé de faire un discours je vous signale tout de suite", None, None, None, None, None, None, None]
[None, None, '21', 'F', 'française', None, 'Bac +3', '0', None]
[None, None, '21', 'F', 'française', None, 'Bac +3', '0', None]
[None, None, '20', 'H', 'française - portugaise', 'français', 'Bac +3', '0', None]
[None, None, '21', 'F', 'française', None, 'Bac +3', '0', None]
[None, None, '27', 'H', 'française', None, 'Bac +3', '0', None]
[None, None, None, None, None, None, None, None, None]
['Sketch 1 - groupe 6 - Raymond - DELBART', 'Mesdames et Messieurs que je vais parler pour ne rien dire', None, None, None, None, None, None, None]
[None, None, '21', 'F', 'française', None, 'Bac +3', '0', None]
[None, None, '21', 'F', 'française', None, 'Bac +3', '0', None]
[None, None, '20', 'H', 'française - portugaise', 'français', 'Bac +3', '1', None]
[None, None, '21', 'F', 'française', None, 'Bac +3', '0', None]
[None, None, '27', 'H', 'française', None, 'Bac +3', '0', None]
[None, None, None, None, None, None, None, None, None]
['Sketch 1 - groupe 6 - Raymond - DELBART', "je sais vous pensez s'il n'a rien à dire il ferait mieux de se taire", None, None, None, None, None, None, None]
[None, None, '21', 'F', 'française', None, 'Bac +3', '0', None]
[None, None, '21', 'F', 'française', None, 'Bac +3', '0', None]
[None, None, '20', 'H', 'française - portugaise', 'français', 'Bac +3', '0', None]
[None, None, '21', 'F', 'française', None, 'Bac +3', '0', None]
[None, None, '27', 'H', 'française', None, 'Bac +3', '0', None]
[None, None, None, None, None, None, None, None, None]
['Sketch 1 - groupe 6 - Raymond - DELBART', "c'est trop facile c'est trop facile", None, None, None, None, None, None, None]
[None, None, '21', 'F', 'française', None, 'Bac +3', '1', None]
[None, None, '21', 'F', 'française', None, 'Bac +3', '1', None]
[None, None, '20', 'H', 'française - portugaise', 'français', 'Bac +3', '1', None]
[None, None, '21', 'F', 'française', None, 'Bac +3', '1', None]
[None, None, '27', 'H', 'française', None, 'Bac +3', '1', None]
[None, None, None, None, None, None, None, None, None]
['Sketch 1 - groupe 6 - Raymond - DELBART', "vous voudriez que je fasse comme tous ceux qui n'ont rien à dire et qui le gardent pour eux", None, None, None, None, None, None, None]
[None, None, '21', 'F', 'française', None, 'Bac +3', '2', None]
[None, None, '21', 'F', 'française', None, 'Bac +3', '2', None]
[None, None, '20', 'H', 'française - portugaise', 'français', 'Bac +3', '1', None]
[None, None, '21', 'F', 'française', None, 'Bac +3', '1', None]
[None, None, '27', 'H', 'française', None, 'Bac +3', '1', None]
[None, None, None, None, None, None, None, None, None]
['Sketch 1 - groupe 6 - Raymond - DELBART', 'et bien non mesdames et messieurs', None, None, None, None, None, None, None]
[None, None, '21', 'F', 'française', None, 'Bac +3', '2', None]
[None, None, '21', 'F', 'française', None, 'Bac +3', '2', None]
[None, None, '20', 'H', 'française - portugaise', 'français', 'Bac +3', '2', None]
[None, None, '21', 'F', 'française', None, 'Bac +3', '1', None]
[None, None, '27', 'H', 'française', None, 'Bac +3', '0', None]
[None, None, None, None, None, None, None, None, None]
['Sketch 1 - groupe 6 - Raymond - DELBART', "moi quand je n'ai rien à dire je veux qu'on le sache", None, None, None, None, None, None, None]
[None, None, '21', 'F', 'française', None, 'Bac +3', '1', None]
[None, None, '21', 'F', 'française', None, 'Bac +3', '2', None]
[None, None, '20', 'H', 'française - portugaise', 'français', 'Bac +3', '1', None]
[None, None, '21', 'F', 'française', None, 'Bac +3', '1', None]
[None, None, '27', 'H', 'française', None, 'Bac +3', '1', None]
[None, None, None, None, None, None, None, None, None]
['Sketch 1 - groupe 6 - Raymond - DELBART', 'je veux en faire profiter les autres', None, None, None, None, None, None, None]
[None, None, '21', 'F', 'française', None, 'Bac +3', '2', None]
[None, None, '21', 'F', 'française', None, 'Bac +3', '1', None]
[None, None, '20', 'H', 'française - portugaise', 'français', 'Bac +3', '0', None]
[None, None, '21', 'F', 'française', None, 'Bac +3', '1', None]
[None, None, '27', 'H', 'française', None, 'Bac +3', '0', None]
['Sketch 1 - groupe 6 - Raymond - DELBART', "et si vous-même mesdames et messieurs vous n'avez rien à dire", None, None, None, None, None, None, None]
[None, None, '21', 'F', 'française', None, 'Bac +3', '0', None]
[None, None, '21', 'F', 'française', None, 'Bac +3', '0', None]
[None, None, '20', 'H', 'française - portugaise', 'français', 'Bac +3', '0', None]
[None, None, '21', 'F', 'française', None, 'Bac +3', '0', None]
[None, None, '27', 'H', 'française', None, 'Bac +3', '0', None]
[None, None, None, None, None, None, None, None, None]
['Sketch 1 - groupe 6 - Raymond - DELBART', 'et bien on en parle on en discute', None, None, None, None, None, None, None]
[None, None, '21', 'F', 'française', None, 'Bac +3', '0', None]
[None, None, '21', 'F', 'française', None, 'Bac +3', '0', None]
[None, None, '20', 'H', 'française - portugaise', 'français', 'Bac +3', '1', None]
